epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.774,1.66656,3.23337,1.58599,0.69366,0.50504,0.54665,0.3492,1.70136,2.0939,1.6094,0.00333014,0.00333014,0.00333014
2,628.418,1.61162,2.19023,1.51011,0.75069,0.61754,0.66973,0.42835,1.66099,1.74307,1.58828,0.00653154,0.00653154,0.00653154
3,924.721,1.67043,1.97225,1.5477,0.7206,0.60444,0.64861,0.40135,1.78501,1.88953,1.69813,0.00960094,0.00960094,0.00960094
4,1220.14,1.69924,1.85829,1.57604,0.76218,0.65131,0.69755,0.45202,1.65548,1.62432,1.61118,0.009406,0.009406,0.009406
5,1515.88,1.64246,1.67402,1.54133,0.818,0.68687,0.75737,0.49935,1.55163,1.45549,1.52462,0.009208,0.009208,0.009208
6,1808.94,1.57886,1.5544,1.50015,0.79306,0.71909,0.772,0.51968,1.52213,1.34443,1.52596,0.00901,0.00901,0.00901
7,2102.89,1.54356,1.47712,1.47642,0.82793,0.74378,0.79246,0.53594,1.49524,1.25729,1.46222,0.008812,0.008812,0.008812
8,2393.82,1.5167,1.40965,1.45785,0.84681,0.74918,0.81435,0.55389,1.44345,1.15588,1.4352,0.008614,0.008614,0.008614
9,2688.57,1.48568,1.36115,1.43602,0.85078,0.75786,0.8171,0.55794,1.43454,1.13008,1.42847,0.008416,0.008416,0.008416
10,2983.66,1.46523,1.32019,1.42441,0.84662,0.75868,0.82172,0.56604,1.39992,1.09738,1.39285,0.008218,0.008218,0.008218
11,3276.76,1.44813,1.26693,1.40629,0.86428,0.76516,0.82781,0.57647,1.40521,1.06929,1.39851,0.00802,0.00802,0.00802
12,3568.57,1.43308,1.25133,1.39653,0.84429,0.77939,0.83155,0.57795,1.41764,1.04139,1.40026,0.007822,0.007822,0.007822
13,3860.98,1.42319,1.22893,1.38542,0.86895,0.77986,0.83622,0.58171,1.37822,1.01629,1.38326,0.007624,0.007624,0.007624
14,4157.28,1.39216,1.1797,1.36983,0.84366,0.79886,0.84394,0.6004,1.35849,0.99407,1.37328,0.007426,0.007426,0.007426
15,4458.99,1.39057,1.16695,1.36078,0.87996,0.7877,0.8467,0.60266,1.36121,0.96618,1.35791,0.007228,0.007228,0.007228
16,4759.7,1.37002,1.13599,1.34913,0.86975,0.79568,0.85006,0.5973,1.36944,0.96507,1.36025,0.00703,0.00703,0.00703
17,5059.73,1.35991,1.1246,1.3434,0.87925,0.79421,0.8525,0.60567,1.34046,0.94244,1.34439,0.006832,0.006832,0.006832
18,5360.84,1.34372,1.09509,1.33174,0.87709,0.7941,0.85273,0.60411,1.33541,0.93423,1.34666,0.006634,0.006634,0.006634
19,5660.61,1.33707,1.08403,1.32615,0.88152,0.80271,0.85723,0.60868,1.33496,0.91998,1.33848,0.006436,0.006436,0.006436
20,5962.44,1.3283,1.06487,1.31743,0.88958,0.80893,0.86035,0.61751,1.31917,0.90279,1.32793,0.006238,0.006238,0.006238
21,6262.44,1.31349,1.03725,1.31327,0.88589,0.81092,0.85969,0.61551,1.31515,0.90381,1.33149,0.00604,0.00604,0.00604
22,6563.71,1.3075,1.02592,1.30591,0.88369,0.81076,0.85996,0.61892,1.30176,0.89279,1.31878,0.005842,0.005842,0.005842
23,6864.34,1.29713,1.01809,1.30024,0.88925,0.80972,0.86157,0.624,1.30181,0.88637,1.31715,0.005644,0.005644,0.005644
24,7165.45,1.28276,0.99079,1.28833,0.89816,0.8085,0.8647,0.62953,1.29621,0.87192,1.31928,0.005446,0.005446,0.005446
25,7467.37,1.27139,0.97628,1.28245,0.89361,0.81437,0.86782,0.63106,1.28644,0.86081,1.31244,0.005248,0.005248,0.005248
26,7769.38,1.26102,0.95911,1.27311,0.90449,0.8167,0.86784,0.63314,1.2794,0.85025,1.30327,0.00505,0.00505,0.00505
27,8069.93,1.24793,0.94179,1.26583,0.90802,0.8183,0.86928,0.63428,1.28223,0.84228,1.30835,0.004852,0.004852,0.004852
28,8369.85,1.24791,0.93452,1.26577,0.89188,0.82107,0.86822,0.63238,1.29153,0.84188,1.31096,0.004654,0.004654,0.004654
29,8672.22,1.2412,0.91497,1.25201,0.89836,0.82063,0.87246,0.63329,1.28142,0.83309,1.30126,0.004456,0.004456,0.004456
30,8974.65,1.22706,0.90874,1.24569,0.89013,0.82325,0.87214,0.6377,1.27167,0.82408,1.29593,0.004258,0.004258,0.004258
31,9275.82,1.20851,0.88335,1.23699,0.92147,0.82043,0.87559,0.63991,1.26881,0.8143,1.29742,0.00406,0.00406,0.00406
32,9577.24,1.20304,0.87395,1.23378,0.89366,0.83227,0.87496,0.64156,1.26932,0.81647,1.29871,0.003862,0.003862,0.003862
33,9873.87,1.19718,0.86388,1.22546,0.88841,0.83677,0.87548,0.64501,1.26042,0.81124,1.29018,0.003664,0.003664,0.003664
34,10169.2,1.18459,0.84208,1.21934,0.89702,0.82894,0.87574,0.64252,1.26908,0.81219,1.29785,0.003466,0.003466,0.003466
35,10456.6,1.17481,0.83772,1.21593,0.90001,0.834,0.87849,0.64847,1.26119,0.80842,1.2931,0.003268,0.003268,0.003268
36,10754.5,1.16048,0.8171,1.20542,0.9063,0.82818,0.87622,0.64703,1.25796,0.80052,1.28942,0.00307,0.00307,0.00307
37,11052.3,1.15732,0.81282,1.20541,0.90089,0.83071,0.87579,0.6473,1.25671,0.80357,1.29054,0.002872,0.002872,0.002872
38,11359.6,1.15392,0.80522,1.19859,0.90158,0.82952,0.87593,0.64985,1.25009,0.79985,1.28731,0.002674,0.002674,0.002674
39,11670.6,1.13113,0.78619,1.18978,0.90808,0.82992,0.87525,0.64954,1.24936,0.79223,1.28615,0.002476,0.002476,0.002476
40,11980.5,1.13359,0.78088,1.18852,0.90237,0.83568,0.87569,0.64894,1.2488,0.78748,1.28533,0.002278,0.002278,0.002278
41,12280.4,1.08399,0.66891,1.16627,0.89692,0.83687,0.87475,0.64912,1.24998,0.78342,1.28983,0.00208,0.00208,0.00208
42,12576.1,1.05867,0.63599,1.14872,0.90333,0.83837,0.87716,0.65368,1.24609,0.77455,1.28768,0.001882,0.001882,0.001882
43,12857.5,1.04063,0.62592,1.13847,0.90805,0.83661,0.87845,0.6555,1.24535,0.77451,1.29093,0.001684,0.001684,0.001684
44,13137.6,1.02469,0.60647,1.12813,0.90502,0.83874,0.87763,0.65314,1.24433,0.77415,1.29245,0.001486,0.001486,0.001486
45,13415.5,1.01052,0.59351,1.12238,0.90369,0.8426,0.87888,0.65406,1.24088,0.77186,1.2929,0.001288,0.001288,0.001288
46,13692.9,0.99499,0.5792,1.11114,0.89889,0.84355,0.87779,0.65504,1.24075,0.76919,1.29439,0.00109,0.00109,0.00109
47,13980.1,0.98602,0.56668,1.10431,0.90261,0.84188,0.87752,0.65566,1.24065,0.76859,1.29683,0.000892,0.000892,0.000892
48,14270.8,0.97403,0.55994,1.09786,0.89753,0.84479,0.87782,0.65704,1.24191,0.76843,1.3012,0.000694,0.000694,0.000694
49,14561,0.96139,0.5454,1.09048,0.90047,0.84018,0.87686,0.65706,1.24136,0.76945,1.30237,0.000496,0.000496,0.000496
50,14858.9,0.94638,0.53208,1.0815,0.90142,0.83931,0.87691,0.65742,1.23959,0.77149,1.30188,0.000298,0.000298,0.000298
